question,answer
"Анализ политической, экономической, социо-культурной и  технологической компонент общественных явлений называется:",PEST-анализанализ
"Власть, основанная на законах и инструкциях, это:",политическая власть
Происходящая в наши дни цифровизация экономики (цифровая  революция) имеет своим непосредственным результатом усиление,технологической власти
"Укажите, к какой компоненте PEST – анализа относятся следующие факторы: размер ВВП и темп роста ВВП, уровень инфляции, процентные  ставки, валютные курсы, денежная масса, уровень безработицы, уровень  конкуренции, инвестиционная активность государства, доступность и  стоимость сырья, наличие инфраструктуры (электроэнергия, транспорт,  связь и т.д.):",экономическая компонента (Е)
Какой термин наиболее точно обозначает ПРОМЫШЛЕННОЕ  предприятие:,undertaking
"Планомерно организованный автономный производственно-технический  комплекс, ведущий хозяйственную деятельность для реализации целей  его собственников на основе использования факторов производства –  это определение:",предприятия
"Организационно-правовая форма, устав, баланс – это атрибуты:",организации
Согласно концепции «Цепочка создания ценности» «Управление  финансами» непосредственно входит в цепочку создания ценности и  является основным видом деятельности предприятия:  ,неверно 
"Выберите из ниже перечисленных определений то, которое относится к  стратегической бизнес-единице:","Автономное подразделение предприятия, производящее определенную  продукцию для конкретной группы покупателей и клиентов."
Предприятие может включать в себя одну или несколько стратегических  бизнес-единиц:,верно
Выберите правильное утверждение.,Фирма включает в себя предприятие и организацию.
По справедливому утверждению Нобелевского лауреата по экономике  Рональда Коуза управление ресурсами во внутренней среде фирмы  происходит:,На основе принятия административных управленческих решений
"Выберите тот фактор производства, который предоставляет фирме  Профессионал",информация
"Выберите тот элемент списка, который НЕ представляет собой фактор  производства",амортизация
"Укажите, к какой компоненте PEST – анализа относятся следующие факторы: научно-технический прогресс, технический уклад, темп  появления новых товаров и патентов в отрасли, связь наука промышленность, уровень расходов на науку и ее государственная  поддержка.",технологическая компонента (Т)
Выберите правильное соотношение между понятиями «коммерческая  деятельность» и «предпринимательская деятельность»:,Всякая предпринимательская деятельность одновременно является  коммерческой  
Некоммерческие организации – это организации:,Которые не имеют права распределять прибыль между участниками
"Стоимость актива, признающегося в соответствии с налоговым подходом в качестве основного средства, должна превышать:",100.000 руб.
За счет каких источников должны формироваться основные средства  предприятия:,"собственные средства, долгосрочные кредиты"
"Разновидность амортизации, при которой для величины амортизационных отчислений необходимо знать остаточную стоимость  на начало соответствующего периода:",геометрически-анализдегрессивная
"Разновидность амортизации, при которой восстановительная стоимость  основных средств в течение всего срока службы ежегодно уменьшается  на одну и ту же величину:",такой амортизации не существует 
Чему равна остаточная стоимость станка стоимостью 350 млн,100
