question,answer
"Слово «философия» с древнегреческого языка переводится как «любовь к мудрости», что в современном понимании философии значит стремление к знанию, определению его методов и критериев.",Да
"Этический рационализм предполагает, что знание является высшим идеалом и критерием моральных и нравственных оценок.",Да
"Метод Г.В.Ф. Гегеля предполагал, что необходимо рассматривать вещи в их целостности и неизменности.",Нет
Идеалы научного математического знания определили развитие философии в Новое время.,Да
"Прежде, чем появился научный (философский) тип мировоззрения, существовали религиозный и мифологический.",Да
"В наше время, также как и ранее, не прекращаются попытки построить общее учение о методе.",Да
"Мировоззрение является одним из разделов философии, проясняющим отношение «Человек-Мир».",Нет
"История древних греков не легенда, а исследование, и именно поэтому она не теократична, а - ...",гуманистична
История получила распространение в период мировоззренческого кризиса. Свою очевидность утрачивает:,истина мифа
"Произведения, соответствующие римскому политическому могуществу и описывающие его создал следующий историк:",все вышеперечисленные (Тит Ливий; Тацит; Полибий)
"Человек был элементом природы/хаоса в античной истории, сама же она была историей свершающегося постоянно Космоса. В силу этого античная история:",циклична и космична
Какое событие лишило человека доверия к окружавшей действительности и дало начало новому витку развития истории как науки?,падение Римской империи
"Для христианства исторический процесс одинаков, его процесс для всех един. Это происходит потому, что:",все люди и все народы вовлечены в осуществление божественных предначертаний
Христианское линейное понимание времени и истории сохраняло свое влияние очень долго. До какого времени?,до эпохи Просвещения
Историки христианства относили апокалиптический момент истории к:,все вышеперечисленное (изобретению книгопечатания; Французской революции; научному развитию и движению XVII века)
Проводник хилиазма Иоахим Флорский предвещал наступление Царства Святого духа:,в 1260 году
"В учении Иоахима Флорского четко видится тенденция, нашедшая свое место в учениях утопистов XVI-XVII веков, которые, в свою очередь, непосредственно предшествовали возникновению исторического мировоззрения. Это – ...",социальная заинтересованность
К XVI веку идея творения и спасения меняется на идею...,творчества
Первым указывает на фактический характер истории:,Дж. Вико
"Вико рассматривает исторический процесс в качестве явления, в котором не просто происходят некие факты, но люди творят языки, государства, нравы. То есть, он:",видит в истории историю возникновения и развития человеческих обществ и их институтов
Для Джамбаттисты Вико история – это:,"непрерывное настоящее, представляющее собой становящееся новое общество"
Два основных прямых последователя Вико в XIX веке:,И.Г. Гердер и И.Г. Фихте
О чем сообщает появление в XIX веке понятия «нация»?,"о том, в это время появляется огромное число людей, активно заявляющей о своей социальной позиции, зарождаются общности, воспринимающие себя как единую силу"
Важным для содержания исторического факта является сопоставление исторического процесса и ...,уровня развития конкретного общества
"Социальные катастрофы, войны, проблемы первой половины ХХ века лишили Европу и человечество иллюзии о том, что:","человеческий разум нравственен сам по себе и прогресс заключается в том, чтобы общество могло предоставить наибольшие возможности для реализации свободы"
Двигателем буржуазной цивилизации является:,классовый конфликт
"Переход к современному финансовому капитализму не смог бы состояться, если бы западными странами не осуществлялась политика",колониализма и неоколониализма
Посткапиталистическое производство стремится к:,тотализации пространства человеческого бытия
"Августин иллюстрирует идею о сотворении неба и земли Богом, противопоставляя их сотворение:",созданию вещи мастером
"Августин в числе прочих определяет следующие «составляющие» мастера, которые сотворены Богом:","тело, душу, талант"
"Августину не нравится идея о том, что Бог сотворил землю и небо своими словами, облеченными в телесную форму, поскольку:","это означает, что до сотворения земли и неба уже было телесное существо, могущее их произнести"
"Р. Коллингвуд исходит из того, что прошлое как специфический объект может быть познан при помощи:",ничего из перечисленного (математики; теологии; естественных наук)
"С точки зрения Р. Коллингвуда, понять прошлое – не то же самое, что понятьисторию как науку. Поэтому чтобы понять, что такое история как наука",нужно иметь исторические знания и опыт рефлексии
"Основная ценность науки истории, по Р. Коллингвуду, в том, что она может дать ответ на вопрос, что представляет собой человек. Это происходит потому, что история может определить",что человек смог сделать за прошедшие столетия
"С точки зрения А. Тойнби, самое важное в истории XX в. это",воздействие западной цивилизации на другие
"Согласно А. Тойнби, понимание истории народа или страны зависит от цивилизации, к которой они относятся, то есть:",от наименьшего необходимого исторического контекста
"Большая часть цивилизаций, называемых А. Тойнби, может быть символически обозначена посредством",исповедуемой религии
"Главная критика Франком рационалистической философии истории заключается в утверждении, что две ее главные предпосылки ложны, поскольку:","история движется независимо от развития умственного развития, и жизнь человека от него зависит не всегда"
"Франк считает, что смысл истории может быть реализован только в том случае, если:","каждая эпоха имеет свое значение, а также является творцом и проводником этого смысла"
"Франк утверждает, что:",человечество способно осознать себя на любой стадии истории
"По С.Л. Франку «ложный» тип философии истории заключается в том, чтобы понять:",цель исторического развития
"С позиции Р. Коллингвуда, основной вопрос философии истории:",Как наука история познает прошлое?
"Отношение к человеку как к особому существу, выделяющемуся из остального мира, возникло и утвердилось не сразу, а только к эпохе Возрождения.",Нет
"Эволюционизм как способ понимания развития человечества, вместе с гуманизмом, противостоял колониализму и дарвинизму.",Нет
Понимание человека как субъекта в эпоху Просвещения развивается в механистическом духе.,Да
"И.Кант одновременно придерживался точек зрения, что человек не свободен от законов природы, и что его можно рассматривать как свободное существо.",Да
"Особенность позиции всех ученых-естествоиспытателей в том, что человек является одним из элементов развития природы, равным другим ее элементам.",Нет
"Психоанализ тоже можно считать одним из направлений, исследовавших сущность человека в XX в.",Да
"Такая область бытия человека, как экзистенциальный выбор, становится основным предметом исследования структурализма.",Нет
"Любовь, по Гегелю – осознание единства с другим человеком.",Да
"В браке, по Гегелю, содержатся два важных аспекта: момент природной жизненности и духовное единство.",Да
Гегель определяет брак как чистую духовную любовь.,Нет
"Брак в себе для Гегеля – нерасторжим, поскольку нравственная сторона возвышается над влечением, влюбленностью. Выступая в качестве только лишь модальности, влечение уходит на второй план.",Да
"Гегель выделяет основную цель брака, считая, что брак как единство существует для продолжения рода.",Нет
"Гегель приводит доводы против брака между родственниками. Его тезис в том, что против такого брака восстает понятие самого предмета.",Да
"Э.Фромм полагает, что старость – это универсальный общечеловеческий феномен, характерный для всех культур.",Нет
