"«Благо», «справедливость», «добродетель» являются категориями такой философской науки, как:",этика
" Работа ""Экология животных"", в которой рассматривается ""естественная история"" написана:",Элтоном Чарлзем
"""Государство"" написал",Платон
"""Жизненная философия"", ""житейская мудрость""","позволяет человеку осуществлять выбор, следуя избранным идеалам"
"""Категории"" могут рассматриваться как",все вышеперечисленное
"""Не поступай так, как ты не хотел бы, что они поступали по отношению к тебе"" -- это одна из формулировок:",золотого правила нравственности
"""Прекрасное"", ""возвышенное"", ""искусство"" являются категориями такой философской науки, как:",эстетика
"""Симулякр"" это","""псевдовещь"", тип знаков,который может только выполнять отсыл к иному значению"
"""Сущность"", ""действительность"", ""причина"", ""субстанция"" являются категориями такой философской науки как",онтология
...Homo sapiens...,Первичноротые
"«Демассификация» цивилизации, которую отражают средства массовой информации, влечет за собой скачок объема информации, которой люди обмениваются друг с другом, считает Э. Тоффлер. Это способствует тому, что:","люди нуждаются в информации, чтобы предвидеть, как другие люди будут относиться к ним самим"
«Естественная теология» это:,"богословие, доступное человеческому разуму без божественного откровения "
"«Истина», «утверждение», «отрицание», «познание» являются категориями такой философской науки, как:",гносеология
«Классической» концепцией истины считается ее восприятие как:,соответствие мышления предмету 
«Метанарратив» это:,"концепция, обосновывающая основания других концепции"
"«Разумный эгоизм» основан на убеждении, что:","разумно следовать таким общим правилам, которые удовлетворили бы эгоизм каждого верно"
«Теология» является,синонимом «богословия»
«Экологическая культура» включает в себя,все вышеперечисленное верно
"Августин в числе прочих определяет следующие «составляющие» мастера, которые сотворены Богом:","тело, душу, талант"
"Августин иллюстрирует идею о сотворении неба и земли Богом, противопоставляя их сотворение:",созданию вещи мастером
"Августину не нравится идея о том, что Бог сотворил землю и небо своими словами, облеченными в телесную форму, поскольку:","это означает, что до сотворения земли и неба уже было телесное существо, могущее их произнести"
автор эссе философское мировоззрение,Макс Шелер
"Автором классических этических произведений ""Евдемова этика"" и ""Большая этика"" является ",Аристотель
"Автором работы ""Ступени органического и человек"" является один из основоположников философской антропологии",Х. Плеснер
Автором работы «Что такое глобализация» является:,Ульрих Бек
"Автором эссе ""Философское мировозрение"" является",М. Шелер
"Анализа современной культурной ситуации, представленный в работах Ю.М.Лотмана и М.Маклюэна, оказался общим в том, что они","концентрируются на видах коммуникации, определяющих доминирующий тип культуры"
Античное представление о гармонии подразумевало,"совершенное соотношение, соразмерность частей предмета и всего мороздания"
Антонимом понятия космос является ,хаос
Антропология возникает,в Новое время
"Аристотель утверждал, что семья- это","общение, естественным путем возникающее для удавлетворения повседневных надобностей"
Аристотелю принадлежит знаменитое учение о добродетели как,середине между избытком и недостатком страсти верно
"Большая часть цивилизаций, называемых А. Тойнби, может быть символически обозначена посредством",исповедуемой религии
"В 1952 году американские антропологи опубликовали труд, посвященный разбору многих имеющихся определений культуры.Этот сборник называется",культура: критический обзор понятий и определений
В XX в. исследования в области философской антропологии обуславливаются влиянием достижений в области:,всем вышеперечисленным
"В более совершенной религии присутствуют элементы прошлого, законы предшествующей религии, потому что:",люди консервативны и нуждаются в объяснении на основании привычных им понятий
"В доказательство, что пространство не есть эмпирическое понятие, Кант приводит такой аргумент:","можно представить пустое пространство, но невозможно представить отсутствие самого пространства верно"
"В интерпретации Х. Ортега-и-Гассета ""универсум"" как предмет философии выступает",самодостаточным целым
В истории европейской науки одну из ключевых ролей в становлении исследования культуры сыграли,"немецкие мыслители И.Кант, И.Гердер, Г.В.Ф.Гегель"
В каких диалогах Платона было заложено основание для онтологического доказательства бытия бога?,"""Государство"" и ""Парменид"""
В книге «Третья волна» Э. Тоффлер предложил периодизацию историко-культурного процесса в зависимости от:,технологических инноваций
В культуре европейского средневековья природа человека находила свое выражение в ,празднике и карнавале
В мировоззрении античности человек проблематизируется,"постольку, постольку он является элементом космоса"
В настоящее сближение философии и науки на основе идеи универсальности знания осуществляется в форме,разработки методологии
"в научное обращение термин ""история"" ввел древнегреческий мыслитель и историк",Геродот
"В понимании Г.Риккерта, объект культуры:",возникает из объекта природы благодаря присоединению к нему ценности
"В предполагаемом сценарии межцивилизационной войны, описанном С. Хантингтоном, Россия:",в конце концов в качестве полноправного члена вступает в НАТО
В своей интерпретации религии К.Маркс отталкивался и критически переосмыслял учение:,Л.Фейербаха
"В своем учении о пространстве И.Кант, как он полагал, обосновал такую науку, как:",геометрия
"В современной науке нет единого общепринятого определения понятия культуры, потому что",конкретное определение понятие культуры зависит от других базовых понятий
"В список базовых общих потребностей, благодаря которым жизнь людей актуализируется в виде различных форм совместной деятельности, не входит потребность в...",самореализации
"В средневековой философии важный аспект познания истины в том, что",все сущее сотворено богом
"В Средние века в Европе было распространено христианское миропонимание, поэтому в число важных проблем философии входили:","всё, связанное с религией, богом и тд"
В Средние века на первый план вышла проблема свободы от:,греха
В сферы общественной жизни входят:,"все, кроме творческой"
В теории Ж.Бодрийяра «потребление» в современной культуре рассматривается как,система коммуникации и структура отношений в обществе
"В терминологии И.Канта, «антропология» это:",всеобщая систематическая наука о человеке
"В терминологии И.Канта, «естественная религия» это:","религия, в которой для понимания нравственных заповедей не требуется откровения"
В условиях современности одним из основных вопросов экологии становится,глобальный экологический кризис верно
В условиях современности ситуация риска разворачивается в следующих областях,во всем вышеперечисленном и еще во многом другом
"В учении Иоахима Флорского четко видится тенденция, нашедшая свое место в учениях утопистов XVI-XVII веков, которые, в свою очередь, непосредственно предшествовали возникновению исторического мировоззрения. Это – ...",социальная заинтересованность
